풍전통닭,강원도 원주시 평원동 352번지 13호  ,033 ­743 ­8080,한식,,,37.348952,127.953799
초우식당,강원도 원주시 중앙동 0번지 0호 중앙시장 라동 62­1호, 033­ 744­6832,한식,,,,
동화장,강원도 원주시 개운동 381번지 13호  , 033­ 762­3957,중국식,,,37.342996,127.955385
장안집원조,강원도 원주시 단계동 1100번지 4호  ,033 ­743 ­3322,한식,,,37.349085,127.926205
솔의향,강원도 원주시 판부면 금대리 687번지 6호 외3필지 , 033­ 762­8406,한식,,,37.274325,128.013497
포도청숯불갈비,강원도 원주시 학성동 207번지 24호  , 033­ 748­0088,한식,,,37.352156,127.947483
사계절굴요리전문점,강원도 원주시 학성동 223번지 1호  ,033 ­734 ­9927,뷔페식,,,37.353805,127.945472
은성식당,강원도 원주시 중앙동 57번지 자유시장56­26 ,033 ­742 ­5916,한식,,,,
낙원루,강원도 원주시 우산동 102번지 1호  ,033 ­742 ­2118,중국식,,,37.371781,127.940071
범바위냉면막국수,강원도 원주시 태장동 1379번지  , 033­ 746­9431,한식,,,37.384894,127.948451
대한각,강원도 원주시 태장동 1397번지 21호  , 033­ 746­6787,중국식,,,,
태광식당,강원도 원주시 가현동 132번지 7호  ,033 ­743 ­1175,한식,,,37.387097,127.943004
칭구,강원도 원주시 중앙동 56번지 44호 자유시장 지층 2부럭3호 , 033­ 745­6393,한식,,,37.350748,127.948752
고단춘천막국수,강원도 원주시 태장동 1392번지 1호  , 033­ 734­1576,한식,,,37.381654,127.950772
호남식당,강원도 원주시 태장동 1957번지  , 033­ 743­2350,한식,,,37.397196,127.952739
아름삼계탕,강원도 원주시 평원동 213번지 1호  , 033­ 744­9786,한식,,,37.352111,127.952228
에이치앤디이문막(서창)휴게소(한식당),강원도 원주시 문막읍 포진리 926번지 1호 외8필지 문막(상)휴게소1동 , 033­ 734­7471,한식,,,37.298544,127.81784
간현짜장,강원도 원주시 지정면 간현리 863번지 5호  , 033­ 731­6068,중국식,,,37.363251,127.837862
황둔막국수,강원도 원주시 신림면 송계리 661번지 4호  , 033­ 744­2055,한식,,,37.26175,128.192279
산정식당,강원도 원주시 신림면 금창리 527번지 1호  , 033­ 762­5433,한식,,,37.25843,128.042673
삼흥통닭,강원도 원주시 중앙동 56번지 24호  ,033 ­742 ­9998,한식,,,37.350829,127.949381
우산동한아름식당,강원도 원주시 우산동 411번지 39호  , 033­ 762­9626,한식,,,37.374137,127.941591
벽오동,강원도 원주시 일산동 97번지 7호  , 033­ 742­2792,호프/통닭,,,,
우장군,강원도 원주시 원동 7번지  ,,한식,,,,
삼정,강원도 원주시 우산동 102번지 6호  ,,한식,,,37.371196,127.940258
영자네삼겹살,강원도 원주시 태장동 1380번지 43호  , 033­ 745­3761,한식,,,37.384269,127.947824
해바라기,강원도 원주시 우산동 230번지 17호  , 033­ 745­1848,호프/통닭,,,37.367824,127.938785
